bst, avl, splay_order, splay_random_1, splay_random_2, splay_random_3, splay_random_4, splay_random_5,
746,9,2,11,0,0,0,0, 
747,7,1,11,0,0,0,0, 
748,9,7,13,0,0,0,0, 
749,8,3,13,0,0,0,0, 
750,9,3,5,0,0,0,0, 
751,5,1,11,0,0,0,0, 
752,9,3,15,0,0,0,0, 
753,8,1,13,0,0,0,0, 
754,9,2,10,0,0,0,0, 
755,7,1,16,0,0,0,0, 
756,9,5,14,0,0,0,0, 
757,8,2,13,0,0,0,0, 
758,9,3,14,0,0,0,0, 
759,6,1,11,0,0,0,0, 
760,9,3,15,0,0,0,0, 
761,8,1,22,0,0,0,0, 
762,9,2,12,0,0,0,0, 
763,7,1,13,0,0,0,0, 
764,9,5,11,0,0,0,0, 
765,8,2,19,0,0,0,0, 
766,9,3,10,0,0,0,0, 
767,1,1,12,0,0,0,0, 
768,9,3,18,0,0,0,0, 
769,8,1,10,0,0,0,0, 
770,9,2,5,0,0,0,0, 
771,7,1,14,0,0,0,0, 
772,9,4,12,0,0,0,0, 
773,8,2,15,0,0,0,0, 
774,9,3,13,0,0,0,0, 
775,6,1,17,0,0,0,0, 
776,9,3,13,0,0,0,0, 
777,8,1,16,0,0,0,0, 
778,9,2,14,0,0,0,0, 
779,7,1,18,0,0,0,0, 
780,9,7,14,0,0,0,0, 
781,8,3,14,0,0,0,0, 
782,9,3,18,0,0,0,0, 
783,5,1,9,0,0,0,0, 
784,9,3,12,0,0,0,0, 
785,8,1,11,0,0,0,0, 
786,9,2,9,0,0,0,0, 
787,7,1,15,0,0,0,0, 
788,9,5,14,0,0,0,0, 
789,8,2,14,0,0,0,0, 
790,9,3,12,0,0,0,0, 
791,6,1,21,0,0,0,0, 
792,9,3,15,0,0,0,0, 
793,8,1,9,0,0,0,0, 
794,9,2,12,0,0,0,0, 
795,7,1,15,0,0,0,0, 
796,9,5,7,0,0,0,0, 
797,8,2,14,0,0,0,0, 
798,9,3,11,0,0,0,0, 
799,4,1,13,0,0,0,0, 
800,9,3,13,0,0,0,0, 
801,8,1,12,0,0,0,0, 
802,9,2,15,0,0,0,0, 
803,7,1,15,0,0,0,0, 
804,9,4,20,0,0,0,0, 
805,8,2,12,0,0,0,0, 
806,9,3,15,0,0,0,0, 
807,6,1,12,0,0,0,0, 
808,9,3,12,0,0,0,0, 
809,8,1,14,0,0,0,0, 
810,9,2,10,0,0,0,0, 
811,7,1,16,0,0,0,0, 
812,9,6,12,0,0,0,0, 
813,8,3,10,0,0,0,0, 
814,9,3,12,0,0,0,0, 
815,5,1,9,0,0,0,0, 
816,9,3,12,0,0,0,0, 
817,8,1,12,0,0,0,0, 
818,9,2,11,0,0,0,0, 
819,7,1,16,0,0,0,0, 
820,9,5,8,0,0,0,0, 
821,8,2,13,0,0,0,0, 
822,9,3,14,0,0,0,0, 
823,6,1,19,0,0,0,0, 
824,9,3,12,0,0,0,0, 
825,8,1,10,0,0,0,0, 
826,9,2,21,0,0,0,0, 
827,7,1,11,0,0,0,0, 
828,9,5,8,0,0,0,0, 
829,8,2,17,0,0,0,0, 
830,9,3,7,0,0,0,0, 
831,3,1,17,0,0,0,0, 
832,9,3,11,0,0,0,0, 
833,8,1,15,0,0,0,0, 
834,9,2,16,0,0,0,0, 
835,7,1,12,0,0,0,0, 
836,9,4,9,0,0,0,0, 
837,8,2,13,0,0,0,0, 
838,9,3,10,0,0,0,0, 
839,6,1,13,0,0,0,0, 
840,9,3,20,0,0,0,0, 
841,8,1,13,0,0,0,0, 
842,9,2,12,0,0,0,0, 
843,7,1,10,0,0,0,0, 
844,9,8,13,0,0,0,0, 
845,8,4,18,0,0,0,0, 
846,9,4,15,0,0,0,0, 
847,5,2,13,0,0,0,0, 
848,9,4,9,0,0,0,0, 
849,8,2,6,0,0,0,0, 
850,9,3,16,0,0,0,0, 
851,7,1,17,0,0,0,0, 
852,9,6,12,0,0,0,0, 
853,8,3,15,0,0,0,0, 
854,9,3,9,0,0,0,0, 
855,6,1,14,0,0,0,0, 
856,9,3,13,0,0,0,0, 
857,8,1,12,0,0,0,0, 
858,9,2,10,0,0,0,0, 
859,7,1,22,0,0,0,0, 
860,9,6,13,0,0,0,0, 
861,8,3,9,0,0,0,0, 
862,9,3,15,0,0,0,0, 
863,4,1,16,0,0,0,0, 
864,9,3,14,0,0,0,0, 
865,8,1,18,0,0,0,0, 
866,9,2,13,0,0,0,0, 
867,7,1,11,0,0,0,0, 
868,9,5,11,0,0,0,0, 
869,8,2,12,0,0,0,0, 
870,9,3,7,0,0,0,0, 
871,6,1,20,0,0,0,0, 
872,9,3,10,0,0,0,0, 
873,8,1,17,0,0,0,0, 
874,9,2,11,0,0,0,0, 
875,7,1,10,0,0,0,0, 
876,9,7,21,0,0,0,0, 
877,8,3,13,0,0,0,0, 
878,9,3,10,0,0,0,0, 
879,5,1,20,0,0,0,0, 
880,9,3,6,0,0,0,0, 
881,8,1,20,0,0,0,0, 
882,9,2,13,0,0,0,0, 
883,7,1,13,0,0,0,0, 
884,9,5,13,0,0,0,0, 
885,8,2,9,0,0,0,0, 
886,9,3,11,0,0,0,0, 
887,6,1,20,0,0,0,0, 
888,9,3,14,0,0,0,0, 
889,8,1,13,0,0,0,0, 
890,9,2,9,0,0,0,0, 
891,7,1,11,0,0,0,0, 
892,9,5,15,0,0,0,0, 
893,8,2,3,0,0,0,0, 
894,9,3,10,0,0,0,0, 
895,2,1,15,0,0,0,0, 
896,9,3,7,0,0,0,0, 
897,8,1,21,0,0,0,0, 
898,9,2,20,0,0,0,0, 
899,7,1,14,0,0,0,0, 
900,9,4,13,0,0,0,0, 
901,8,2,11,0,0,0,0, 
902,9,3,11,0,0,0,0, 
903,6,1,9,0,0,0,0, 
904,9,3,18,0,0,0,0, 
905,8,1,21,0,0,0,0, 
906,9,2,14,0,0,0,0, 
907,7,1,15,0,0,0,0, 
908,9,7,12,0,0,0,0, 
909,8,3,14,0,0,0,0, 
910,9,3,13,0,0,0,0, 
911,5,1,14,0,0,0,0, 
912,9,3,16,0,0,0,0, 
913,8,1,17,0,0,0,0, 
914,9,2,16,0,0,0,0, 
915,7,1,13,0,0,0,0, 
916,9,5,14,0,0,0,0, 
917,8,2,7,0,0,0,0, 
918,9,3,10,0,0,0,0, 
919,6,1,13,0,0,0,0, 
920,9,3,15,0,0,0,0, 
921,8,1,17,0,0,0,0, 
922,9,2,8,0,0,0,0, 
923,7,1,12,0,0,0,0, 
924,9,5,10,0,0,0,0, 
925,8,2,10,0,0,0,0, 
926,9,3,8,0,0,0,0, 
927,4,1,8,0,0,0,0, 
928,9,3,7,0,0,0,0, 
929,8,1,12,0,0,0,0, 
930,9,2,15,0,0,0,0, 
931,7,1,17,0,0,0,0, 
932,9,4,14,0,0,0,0, 
933,8,2,13,0,0,0,0, 
934,9,3,15,0,0,0,0, 
935,6,1,17,0,0,0,0, 
936,9,3,11,0,0,0,0, 
937,8,1,16,0,0,0,0, 
938,9,2,14,0,0,0,0, 
939,7,1,16,0,0,0,0, 
940,9,6,10,0,0,0,0, 
941,8,3,15,0,0,0,0, 
942,9,3,12,0,0,0,0, 
943,5,1,15,0,0,0,0, 
944,9,3,8,0,0,0,0, 
945,8,1,12,0,0,0,0, 
946,9,2,11,0,0,0,0, 
947,7,1,9,0,0,0,0, 
948,9,5,9,0,0,0,0, 
949,8,2,14,0,0,0,0, 
950,9,3,12,0,0,0,0, 
951,6,1,7,0,0,0,0, 
952,9,3,14,0,0,0,0, 
953,8,1,15,0,0,0,0, 
954,9,2,10,0,0,0,0, 
955,7,1,15,0,0,0,0, 
956,9,5,17,0,0,0,0, 
957,8,2,9,0,0,0,0, 
958,9,3,13,0,0,0,0, 
959,3,1,16,0,0,0,0, 
960,8,3,16,0,0,0,0, 
961,7,1,13,0,0,0,0, 
962,8,2,14,0,0,0,0, 
963,6,1,12,0,0,0,0, 
964,8,4,20,0,0,0,0, 
965,7,2,20,0,0,0,0, 
966,8,3,10,0,0,0,0, 
967,5,1,11,0,0,0,0, 
968,8,3,11,0,0,0,0, 
969,7,1,9,0,0,0,0, 
970,8,2,16,0,0,0,0, 
971,6,1,21,0,0,0,0, 
972,8,5,8,0,0,0,0, 
973,7,2,20,0,0,0,0, 
974,8,3,17,0,0,0,0, 
975,4,1,9,0,0,0,0, 
976,9,3,9,0,0,0,0, 
977,8,1,9,0,0,0,0, 
978,9,2,16,0,0,0,0, 
979,7,1,11,0,0,0,0, 
980,9,4,12,0,0,0,0, 
981,8,2,12,0,0,0,0, 
982,9,3,17,0,0,0,0, 
983,6,1,15,0,0,0,0, 
984,9,3,13,0,0,0,0, 
985,8,1,9,0,0,0,0, 
986,9,2,10,0,0,0,0, 
987,7,1,14,0,0,0,0, 
988,9,4,16,0,0,0,0, 
989,8,2,9,0,0,0,0, 
990,9,3,8,0,0,0,0, 
991,5,1,13,0,0,0,0, 
992,8,3,19,0,0,0,0, 
993,7,1,14,0,0,0,0, 
994,8,2,15,0,0,0,0, 
995,6,1,17,0,0,0,0, 
996,8,3,11,0,0,0,0, 
997,7,1,12,0,0,0,0, 
998,9,2,14,0,0,0,0, 
999,8,1,9,0,0,0,0, 
1000,9,1,20,0,0,0,0, 
