bst, avl, splay_order, splay_random_1, splay_random_2, splay_random_3, splay_random_4, splay_random_5,
175,5,1,12,0,0,0,0, 
176,9,3,28,0,0,0,0, 
177,8,1,7,0,0,0,0, 
178,9,2,6,0,0,0,0, 
179,7,1,13,0,0,0,0, 
180,9,5,13,0,0,0,0, 
181,8,2,12,0,0,0,0, 
182,9,3,10,0,0,0,0, 
183,6,1,7,0,0,0,0, 
184,9,3,12,0,0,0,0, 
185,8,1,13,0,0,0,0, 
186,9,2,11,0,0,0,0, 
187,7,1,8,0,0,0,0, 
188,9,5,7,0,0,0,0, 
189,8,2,16,0,0,0,0, 
190,9,3,15,0,0,0,0, 
191,3,1,7,0,0,0,0, 
192,9,3,16,0,0,0,0, 
193,8,1,13,0,0,0,0, 
194,9,2,11,0,0,0,0, 
195,7,1,20,0,0,0,0, 
196,9,4,12,0,0,0,0, 
197,8,2,9,0,0,0,0, 
198,9,3,13,0,0,0,0, 
199,6,1,13,0,0,0,0, 
200,9,3,9,0,0,0,0, 
201,8,1,16,0,0,0,0, 
202,9,2,16,0,0,0,0, 
203,7,1,13,0,0,0,0, 
204,9,9,6,0,0,0,0, 
205,8,4,12,0,0,0,0, 
206,9,4,18,0,0,0,0, 
207,5,2,9,0,0,0,0, 
208,9,4,19,0,0,0,0, 
209,8,2,12,0,0,0,0, 
210,9,3,9,0,0,0,0, 
211,7,1,16,0,0,0,0, 
212,9,6,9,0,0,0,0, 
213,8,3,13,0,0,0,0, 
214,9,3,16,0,0,0,0, 
215,6,1,15,0,0,0,0, 
216,9,3,8,0,0,0,0, 
217,8,1,17,0,0,0,0, 
218,9,2,15,0,0,0,0, 
219,7,1,8,0,0,0,0, 
220,9,6,17,0,0,0,0, 
221,8,3,8,0,0,0,0, 
222,9,3,10,0,0,0,0, 
223,4,1,11,0,0,0,0, 
224,9,3,12,0,0,0,0, 
225,8,1,12,0,0,0,0, 
226,9,2,11,0,0,0,0, 
227,7,1,20,0,0,0,0, 
228,9,5,8,0,0,0,0, 
229,8,2,5,0,0,0,0, 
